fSW (MHz),I(IN),I(OUT),V(OUT),V(IN),A_T,A_B
9.50E+07,-2.93E-02,1.23E-02,1.85E+00,1,0,0.05
1.00E+08,-3.03E-02,1.27E-02,1.85E+00,1,0,0.05
1.05E+08,-3.12E-02,1.30E-02,1.85E+00,1,0,0.05
1.10E+08,-3.21E-02,1.33E-02,1.85E+00,1,0,0.05
1.15E+08,-3.29E-02,1.36E-02,1.85E+00,1,0,0.05
1.20E+08,-3.37E-02,1.39E-02,1.85E+00,1,0,0.05
1.25E+08,-3.45E-02,1.42E-02,1.85E+00,1,0,0.05
1.30E+08,-3.52E-02,1.44E-02,1.85E+00,1,0,0.05
1.35E+08,-3.59E-02,1.46E-02,1.85E+00,1,0,0.05
1.40E+08,-3.66E-02,1.49E-02,1.85E+00,1,0,0.05
1.45E+08,-3.72E-02,1.50E-02,1.85E+00,1,0,0.05
1.50E+08,-3.78E-02,1.52E-02,1.85E+00,1,0,0.05
1.55E+08,-3.83E-02,1.54E-02,1.85E+00,1,0,0.05
1.60E+08,-3.89E-02,1.55E-02,1.85E+00,1,0,0.05
1.65E+08,-3.94E-02,1.57E-02,1.85E+00,1,0,0.05
1.70E+08,-3.99E-02,1.58E-02,1.85E+00,1,0,0.05
1.75E+08,-4.04E-02,1.60E-02,1.85E+00,1,0,0.05
1.80E+08,-4.09E-02,1.61E-02,1.85E+00,1,0,0.05
1.85E+08,-4.13E-02,1.62E-02,1.85E+00,1,0,0.05
1.90E+08,-4.18E-02,1.63E-02,1.85E+00,1,0,0.05
1.95E+08,-4.22E-02,1.64E-02,1.85E+00,1,0,0.05
2.00E+08,-4.26E-02,1.65E-02,1.85E+00,1,0,0.05
2.05E+08,-4.30E-02,1.66E-02,1.85E+00,1,0,0.05
2.10E+08,-4.34E-02,1.66E-02,1.85E+00,1,0,0.05
2.15E+08,-4.38E-02,1.67E-02,1.85E+00,1,0,0.05
2.20E+08,-4.42E-02,1.68E-02,1.85E+00,1,0,0.05
2.25E+08,-4.45E-02,1.69E-02,1.85E+00,1,0,0.05
2.30E+08,-4.49E-02,1.69E-02,1.85E+00,1,0,0.05
2.35E+08,-4.53E-02,1.70E-02,1.85E+00,1,0,0.05
2.40E+08,-4.56E-02,1.70E-02,1.85E+00,1,0,0.05
2.45E+08,-4.59E-02,1.71E-02,1.85E+00,1,0,0.05
2.50E+08,-4.63E-02,1.71E-02,1.85E+00,1,0,0.05
