fSW (MHz),I(IN),I(OUT),V(OUT),V(IN),A_T,A_B
220,-0.0350337,0.0164531,1.85E+00,1,0,0.01
230,-0.0353121,0.0165471,1.85E+00,1,0,0.01
240,-0.0355616,0.0166248,1.85E+00,1,0,0.01
250,-0.035784,0.0166876,1.85E+00,1,0,0.01
50,-0.0172744,0.00738609,1.85E+00,1,0,0.05
60,-0.0203522,0.00867708,1.85E+00,1,0,0.05
70,-0.0231302,0.00982011,1.85E+00,1,0,0.05
80,-0.0255843,0.0108033,1.85E+00,1,0,0.05
90,-0.0277212,0.0116297,1.85E+00,1,0,0.05
100,-0.0295657,0.0123118,1.85E+00,1,0,0.05
110,-0.0311496,0.0128656,1.85E+00,1,0,0.05
120,-0.0325091,0.0133082,1.85E+00,1,0,0.05
130,-0.0336756,0.0136556,1.85E+00,1,0,0.05
140,-0.034678,0.0139221,1.85E+00,1,0,0.05
150,-0.0355431,0.0141201,1.85E+00,1,0,0.05
160,-0.0362909,0.0142609,1.85E+00,1,0,0.05
170,-0.0369405,0.0143534,1.85E+00,1,0,0.05
180,-0.0375065,0.0144045,1.85E+00,1,0,0.05
190,-0.0380022,0.0144207,1.85E+00,1,0,0.05
200,-0.0384375,0.0144069,1.85E+00,1,0,0.05
210,-0.038822,0.0143683,1.85E+00,1,0,0.05
220,-0.039162,0.014308,1.85E+00,1,0,0.05
230,-0.0394635,0.0142279,1.85E+00,1,0,0.05
240,-0.0397321,0.0141324,1.85E+00,1,0,0.05
250,-0.0399741,0.0140226,1.85E+00,1,0,0.05
