fsw	V(in)	V(out)	I(V1)	I(V2)
4.570000000000000e+004	1.000000e+000	1.900000e+000	-2.037898e-004	8.127331e-005
4.620000000000000e+004	1.000000e+000	1.900000e+000	-2.041652e-004	8.123660e-005
4.670000000000000e+004	1.000000e+000	1.900000e+000	-2.045303e-004	8.119470e-005
4.720000000000000e+004	1.000000e+000	1.900000e+000	-2.048854e-004	8.114779e-005
4.770000000000000e+004	1.000000e+000	1.900000e+000	-2.052308e-004	8.109603e-005
4.820000000000000e+004	1.000000e+000	1.900000e+000	-2.055668e-004	8.103962e-005
4.870000000000000e+004	1.000000e+000	1.900000e+000	-2.058938e-004	8.097869e-005
4.920000000000000e+004	1.000000e+000	1.900000e+000	-2.062121e-004	8.091341e-005
4.970000000000000e+004	1.000000e+000	1.900000e+000	-2.065220e-004	8.084393e-005
5.020000000000000e+004	1.000000e+000	1.900000e+000	-2.068238e-004	8.077038e-005
5.070000000000000e+004	1.000000e+000	1.900000e+000	-2.071177e-004	8.069289e-005
5.120000000000000e+004	1.000000e+000	1.900000e+000	-2.074040e-004	8.061161e-005
5.170000000000000e+004	1.000000e+000	1.900000e+000	-2.076830e-004	8.052667e-005
5.220000000000000e+004	1.000000e+000	1.900000e+000	-2.079549e-004	8.043816e-005
5.270000000000000e+004	1.000000e+000	1.900000e+000	-2.082199e-004	8.034622e-005
5.320000000000000e+004	1.000000e+000	1.900000e+000	-2.084782e-004	8.025096e-005
5.370000000000000e+004	1.000000e+000	1.900000e+000	-2.087301e-004	8.015248e-005
5.420000000000000e+004	1.000000e+000	1.900000e+000	-2.089758e-004	8.005088e-005
5.470000000000000e+004	1.000000e+000	1.900000e+000	-2.092155e-004	7.994627e-005
5.520000000000000e+004	1.000000e+000	1.900000e+000	-2.094493e-004	7.983873e-005
5.570000000000000e+004	1.000000e+000	1.900000e+000	-2.096774e-004	7.972837e-005
5.620000000000000e+004	1.000000e+000	1.900000e+000	-2.099001e-004	7.961527e-005
5.670000000000000e+004	1.000000e+000	1.900000e+000	-2.101174e-004	7.949951e-005
5.720000000000000e+004	1.000000e+000	1.900000e+000	-2.103296e-004	7.938117e-005
5.770000000000000e+004	1.000000e+000	1.900000e+000	-2.105368e-004	7.926034e-005
5.820000000000000e+004	1.000000e+000	1.900000e+000	-2.107392e-004	7.913708e-005
5.870000000000000e+004	1.000000e+000	1.900000e+000	-2.109369e-004	7.901148e-005
5.920000000000000e+004	1.000000e+000	1.900000e+000	-2.111300e-004	7.888360e-005
5.970000000000000e+004	1.000000e+000	1.900000e+000	-2.113187e-004	7.875352e-005
