time	I(Out)
2.013693491111529e-008	-9.147072e-008
2.031979205397168e-008	-9.091744e-008
2.050264919682806e-008	-9.040347e-008
2.068550633968444e-008	-8.992881e-008
2.086836348254082e-008	-8.949346e-008
2.105122062539721e-008	-8.909742e-008
2.123407776825359e-008	-8.874070e-008
2.141693491110997e-008	-8.842329e-008
2.159979205396635e-008	-8.813059e-008
2.178264919682273e-008	-8.785870e-008
2.196550633967912e-008	-8.760760e-008
2.214836348253550e-008	-8.737730e-008
2.233122062539188e-008	-8.716781e-008
2.251407776824826e-008	-8.697912e-008
2.269693491110464e-008	-8.681123e-008
2.287979205396103e-008	-8.665640e-008
2.306264919681741e-008	-8.651257e-008
2.324550633967379e-008	-8.637975e-008
2.342836348253017e-008	-8.625793e-008
2.361122062538656e-008	-8.614711e-008
2.379407776824294e-008	-8.604730e-008
2.397693491109932e-008	-8.595849e-008
2.412322992379942e-008	-8.589201e-008
2.426952493649951e-008	-8.582948e-008
2.441581994919961e-008	-8.577091e-008
2.456211496189971e-008	-8.571630e-008
2.470840997459981e-008	-8.566564e-008
2.485470498729990e-008	-8.561894e-008
2.500100000000000e-008	-8.557620e-008
2.500135000000000e-008	-8.557610e-008
2.500145000000004e-008	-8.753954e-008
2.500145312500010e-008	-9.015125e-008
2.500145390625013e-008	-9.224640e-008
2.500145546875011e-008	-9.980739e-008
2.500145859375016e-008	-1.299532e-007
2.500146484375015e-008	-4.259137e-007
2.500147734375015e-008	-8.035010e-005
2.500150234375013e-008	-5.717024e-004
2.500150400298720e-008	-7.758088e-004
2.500150732146133e-008	-2.228539e-003
2.500151395840969e-008	-9.542391e-003
2.500151831070214e-008	-2.075252e-002
2.500152114866898e-008	-3.509957e-002
2.500152352686041e-008	-5.476665e-002
2.500152585295805e-008	-8.320258e-002
2.500152817161386e-008	-1.229130e-001
2.500153045446718e-008	-1.754019e-001
2.500153271221603e-008	-2.424878e-001
2.500153523061354e-008	-3.343085e-001
2.500153751137469e-008	-4.307440e-001
2.500154281635400e-008	-6.713067e-001
2.500154457059397e-008	-7.418848e-001
2.500154624244155e-008	-7.955831e-001
2.500154787870708e-008	-8.314932e-001
2.500154955365894e-008	-8.491465e-001
2.500155159240742e-008	-8.541508e-001
2.500161565063494e-008	-8.483644e-001
2.500167970886245e-008	-8.425883e-001
2.500174376708997e-008	-8.368226e-001
2.500180782531748e-008	-8.310672e-001
2.500187188354500e-008	-8.253222e-001
2.500193594177251e-008	-8.195875e-001
2.500200000000003e-008	-8.138632e-001
2.500250510146140e-008	-7.708140e-001
2.500301020292278e-008	-7.296282e-001
2.500351530438415e-008	-6.903058e-001
2.500402040584553e-008	-6.528466e-001
2.500452550730690e-008	-6.172507e-001
2.500503060876827e-008	-5.835182e-001
2.500553571022965e-008	-5.516490e-001
2.500622853911870e-008	-5.101921e-001
2.500699073665145e-008	-4.677832e-001
2.500777636645707e-008	-4.273141e-001
2.500862836174727e-008	-3.868762e-001
2.500950878744370e-008	-3.485466e-001
2.501045454914617e-008	-3.109651e-001
2.501143445029102e-008	-2.755937e-001
2.501248045786073e-008	-2.414731e-001
2.501356716750262e-008	-2.096046e-001
2.501472264917570e-008	-1.793131e-001
2.501592654800399e-008	-1.512603e-001
2.501720401414568e-008	-1.249673e-001
2.501853921901656e-008	-1.008490e-001
2.501995534705771e-008	-7.855822e-002
2.502144081249436e-008	-5.833332e-002
2.502301782945631e-008	-3.991308e-002
2.502467905840126e-008	-2.341142e-002
2.502644688536763e-008	-8.622006e-003
2.502831860816181e-008	4.427308e-003
2.503031825227113e-008	1.590853e-002
2.503244873624490e-008	2.585168e-002
2.503473784314251e-008	3.440736e-002
2.503719610718536e-008	4.164285e-002
2.503985848097626e-008	4.769483e-002
2.504274701967174e-008	5.265266e-002
2.504590994019520e-008	5.664274e-002
2.504938870705692e-008	5.976509e-002
2.505325689476954e-008	6.213655e-002
2.505759253622521e-008	6.385856e-002
2.506252160572774e-008	6.503651e-002
2.506820057324959e-008	6.576438e-002
2.508291008437267e-008	6.621004e-002
2.511147915223822e-008	6.540029e-002
2.514004822010378e-008	6.457439e-002
2.516861728796934e-008	6.373235e-002
2.519718635583490e-008	6.287416e-002
2.522575542370046e-008	6.199983e-002
2.525432449156602e-008	6.110935e-002
2.528289355943158e-008	6.020273e-002
2.537575070228833e-008	5.749768e-002
2.546860784514509e-008	5.490220e-002
2.556146498800185e-008	5.241630e-002
2.565432213085860e-008	5.003998e-002
2.574717927371536e-008	4.777323e-002
2.584003641657212e-008	4.561605e-002
2.593289355942887e-008	4.356845e-002
2.594289355942883e-008	4.335224e-002
2.612575070228521e-008	3.964463e-002
2.630860784514160e-008	3.620051e-002
2.649146498799798e-008	3.301987e-002
2.667432213085436e-008	3.010272e-002
2.685717927371074e-008	2.744904e-002
2.704003641656713e-008	2.505885e-002
2.722289355942351e-008	2.293213e-002
2.740575070227989e-008	2.097091e-002
2.758860784513627e-008	1.914906e-002
2.777146498799265e-008	1.746659e-002
2.795432213084903e-008	1.592349e-002
2.813717927370542e-008	1.451977e-002
2.832003641656180e-008	1.325542e-002
2.850289355941818e-008	1.213045e-002
2.868575070227456e-008	1.109301e-002
2.886860784513095e-008	1.012930e-002
